X,Y,OBJECTID,ID_CICLOPARQUEDERO,CIV,CLASECICLOP,NOMBRECICLOP,SECTORCICLOP,TIPOUSUARIOCICLOP,LOCALIDAD,DIRECCIONCICLOP,HORARIOCICLOP,TIPOLOGIACICLOP,CUPOCICLOP,SELLOCICLOP,ANOCICLOP,GLOBALID
-74.099875,4.63891699999999,198,1197,13001252,F,Parking International Fiscalía,2,1,13,KR 52 24 11,L-S 06:00 - 22:00 D-F 8:00 - 21:00,8,60,1,2020,{9C6FC68D-FBB3-49FF-9E91-02E2951B10C8}
-74.056819,4.66907500000002,199,1198,2000647,F,Parking International Clínica Country,2,1,2,KR 16 82 57,L-D 24h,8,60,1,2020,{1B04FD87-81F3-4A21-8987-DAE8DFB3BA50}
-74.039862,4.68044099999997,200,1199,1006460,F,Parking international Edificio Universal,2,1,2,CL 100 7ª 81,L-V 06:00 - 17:00 S 07:00 - 15:00,8,24,1,2020,{6EAB10E3-5225-491F-BC5A-AB78A26362EF}
-74.030959,4.70018399999998,201,1200,1004780,F,Parking International Fundación Santa Fe,2,1,1,CL 119 7 75,L-D 24h,8,150,1,2020,{60D0B14E-E4A8-4CEB-82D2-B9E7247C01D4}
-74.066209,4.601426,202,1201,17000023,F,Universidad de los Andes Edificio ML,2,2,17,KR 1 18 A 12,L-V 07:00 - 22:00,8,460,1,2021,{03B82DA7-6032-422C-AB67-57E203194935}
-74.065518,4.64221099899999,203,1202,2001620,F,Secretaría Distrital de Ambiente,1,1,2,AV Caracas 53-38,L-V 06:00 - 20:00,8,56,1,2021,{E70D5034-8FC1-417B-8E03-BD16D0C7D0A9}
-74.050784,4.72214899900001,204,1203,1003729,F,Punto IPES Alcalá,1,1,1,Autonorte 136-79,L-D 8:00 - 17:00,8,69,1,2021,{9A59123B-D4F4-4A04-9DC4-7A22610E27BE}
-74.068493,4.602666,205,1204,3000705,F,Punto IPES Aguas,1,1,17,CL 19 Bis 3-15,L-D 8:00 - 17:00,8,164,1,2021,{6D467193-61C5-4F83-8A5D-12B37CDD1108}
-74.134186,4.63018,206,1205,8013629,F,Punto IPES Mundo Aventura,1,1,8,AV Americas 71,L-D 8:00 - 17:00,8,72,1,2021,{CB282D46-D070-43F5-B18E-BA5F56C2B240}
-74.097106,4.64179999999999,207,1206,13001023,F,Gobernacion de Cundinamarca,1,1,13,AV. CL 26 51 53,L-S:7:00 - 20:00,8,250,1,2021,{116DF579-ABCE-4A7B-B6C9-CA98B4C703DE}
-74.041518,4.702383,208,1207,1008008,F,Centro comercial Unicentro,2,1,1,AK 15 124 30,L-D 8:00 - 22:00,8,270,1,2021,{EE8B5064-D082-45CF-8F53-EB8502C908EC}
-74.09111574,4.62018456800001,209,1208,16000972,F,EAAB - COA,1,1,16,KR 32 17 B 35,L-S:7:00 - 20:00,8,49,1,2021,{15904253-E655-4A09-ACCA-44CE44D7FF8A}
-74.091578397,4.62863389900002,210,1209,13001984,F,EAAB - Corferias,1,1,13,AC 24 37 15,L-S:7:00 - 20:00,8,123,1,2021,{19CEA1D9-1135-48E8-BDA2-0CAC4720E97F}
-74.038479387,4.69157517600001,211,1210,1005300,F,EAAB - Subcentral Usaquén,1,1,1,CL 110 9 80,L-S:7:00 - 20:00,8,36,1,2021,{2D7EC992-548F-488B-8730-FBA1EB1D18C0}
-74.121199486,4.57511481699999,212,1211,18001756,F,EAAB - Subcentral Santa Lucía,1,1,18,KR 14 41 70 sur,L-S:7:00 - 20:00,8,36,1,2021,{68DF086A-793F-4428-A976-E48F74826ECD}
-74.077127255,4.59858787299999,213,1212,17000142,F,Secretaria de Gobierno,1,1,3,KR 8 10 65,L-S:7:00 - 20:00,8,199,1,2021,{71D2E1DC-6903-4F28-B9C2-8E368D56AC9A}
-74.088197055,4.616059011,214,1213,14000179,F,Secretaría Distrital de Movilidad - Paloquemao,1,1,14,Kr 28 18 64,L-S:7:00 - 20:00,8,52,1,2021,{6375ED05-DBC0-44FD-BDB7-12715293AC23}
